Plot,True Cover,Guess at Cover
1,0.40,0.4
2,0.40,0.3
3,0.60,0.5
4,0.65,0.7
5,0.85,0.8
6,0.00,0.1
7,0.15,0.3
8,0.65,0.6
9,0.50,0.5
10,0.35,0.3
11,0.60,0.8
12,0.75,0.9
13,0.50,0.6
14,0.60,0.6
15,0.50,0.5
16,0.50,0.6
17,0.55,0.7
18,0.10,0.2
19,0.50,0.5
20,0.70,0.8
21,0.10,0.2
22,0.75,0.7
23,0.50,0.6
24,0.75,1.0
25,0.70,0.7
26,0.10,0.2
27,0.65,0.7
28,0.10,0.0
29,0.45,0.5
30,0.20,0.1
31,0.10,0.2
32,0.85,0.8
33,0.70,0.7
34,0.15,0.2
35,0.10,0.1
36,0.45,0.4
37,0.75,0.8
38,0.40,0.5
39,0.25,0.2
40,0.50,0.6
